"FileName="BV_TWEM_20220531_1514
"FileDate="20220531
"FileTime="15:14
"FileExpiration="20220601 15:14
"FileSequence=458"
"DataDelimiter= ,"

TRADE DATE EXECUTION TIME,PUBLICATION DATE,VENUE OF EXECUTION,INSTRUMENT ID TYPE,ISIN,PRICE,MONE,PERC,YIEL,BAPO,PRICE NOTATION,PRICE CURRENCY,QUANTITY,QUANTITY TYPE,QUANTITY IN MEASUREMENT UNIT,QUANTITY NOTATION MEASUREMENT UNIT,NOTIONAL AMOUNT,NOTIONAL CURRENCY,EMISSION ALLOWANCE TYPE,PUBLICATION ID,ORGINAL ID,TRANSACTION TO BE CLEARED,TRANSCATION COUNT,FLAGS,SUPPLEMENTARY DEFERRAL FLAGS,NO SUBMITTED TRANS (TPCC),SUBMITTED NOTIONAL (TPCC),SUBMITTED NOTIONAL 2 (TPCC),NOTIONAL CURRENCY 2 (TPCC),NO TERMINATED/REDUCED TRANS (TPCC),TERMINATED/REDUCED NOTIONAL (TPCC),TERMINATED/REDUCED NOTIONAL 2 (TPCC),REPLACEMENT NOTIONAL (TPCC),REPLACEMENT NOTIONAL 2 (TPCC),SUB ASSET CLASSES (TPCC),REPLACEMENT SUB ASSET CLASSES (TPCC),REPLACEMENT CURRENCIES (TPCC),NO REPLACEMENT TRANS (TPCC)
2022-05-31T15:14:05.414Z,2022-05-31 15:14:06,TWEM,ISIN,IT0005419848,94.979,,,,,PERC,EUR,192000,Units,0,,192000,EUR,,'3605455857640282410,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:05.828Z,2022-05-31 15:14:06,TWEM,ISIN,DE0001102408,96.964,,,,,PERC,EUR,100000,Units,0,,100000,EUR,,'3605455857640282411,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:05.878Z,2022-05-31 15:14:06,TWEM,ISIN,ES00000122E5,110.946,,,,,PERC,EUR,180000,Units,0,,180000,EUR,,'3605455857640282412,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:05.899Z,2022-05-31 15:14:06,TWEM,ISIN,NL0015000LS8,92.49,,,,,PERC,EUR,12000,Units,0,,12000,EUR,,'3605455857640282413,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:05.943Z,2022-05-31 15:14:08,TWEM,ISIN,IT0005327306,99.169,,,,,PERC,EUR,8110000,Units,0,,8110000,EUR,,'3605455857640282414,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.381Z,2022-05-31 15:14:08,TWEM,ISIN,DE0001102580,89.731,,,,,PERC,EUR,640000,Units,0,,640000,EUR,,'3605455857640282415,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.825Z,2022-05-31 15:14:08,TWEM,ISIN,ES0000011868,127.686,,,,,PERC,EUR,20000,Units,0,,20000,EUR,,'3605455857640282416,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.967Z,2022-05-31 15:14:08,TWEM,ISIN,IT0005436693,80.581,,,,,PERC,EUR,50000,Units,0,,50000,EUR,,'3605455857640282417,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.158Z,2022-05-31 15:14:08,TWEM,ISIN,FR0013508470,96.608,,,,,PERC,EUR,150000,Units,0,,150000,EUR,,'3605455857640282418,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.201Z,2022-05-31 15:14:08,TWEM,ISIN,FR0014007TY9,97.936,,,,,PERC,EUR,200000,Units,0,,200000,EUR,,'3605455857640282419,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.864Z,2022-05-31 15:14:08,TWEM,ISIN,ES00000124C5,121.055,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282420,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.353Z,2022-05-31 15:14:08,TWEM,ISIN,IT0005495731,100.384,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282421,,N,,,,,,,,,,,,,,,,,
